Title,Floor,Rooms,Living Space,Images,Country,Locality,PostalCode,Region,Street,Latitude,Longitude,Distance Public Transport,hasGarage,Is Minergie General,Is New Building,Extra cost,Gross cost,Net cost,Purchase cost,Description,Url
2 Zimmer Wohnung in Zürich,,2,63,,CH,Zürich,8004,ZH,Militärstrasse 24,47.3769355,8.5326062,,,,,,1450,,,"Dieses Gebäude befindet sich im Herzen von Zürich im Zentrum des städtischen Trubels von Distrikt 4. Europaallee und seine vielen Geschäfte, Restaurants und Büros sind nur wenige Schritte entfernt, und der Hauptbahn der Stadt, einschließlich des Shopville Centers, kann in nur drei Minuten zu Fuß erreicht werden. Zahlreiche öffentliche Transportmittel sind auch gleich um die Ecke am Station Sihlpost/Hauptbahnhof (Straßenbahn 3, 4, 13, 14 und 17; Busse 31, 33 und 24). Einer der Highlights des Gebäudes ist der offene Blick auf den Kasurenareal und den Uetliberg, Zürichs eigenen Hügel. Die Nähe der bekannten Einkaufspromenade der Stadt (Bahnhofstrasse) und der lebendigen Nachbarschaft Langstrassenquartier sind weitere Aspekte, die dies zu einem Top-Standort machen.",https://www.homegate.ch/mieten/3002291634
Stadtwohnung direkt am Limmatquai,3,3.5,80,"https://media2.homegate.ch/listings/liv2/3002265048/image/db8be3ca18b688c03301b1b2307cef1f.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/2c639c93055cee53f22a9fe6ed2d1467.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/f15ba7248f87aad4256607410a35a576.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/11262f555fe33ff1ae35883ee69235b2.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/ffaa7578be572a64fca894eb5b7ba0ed.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/c2f51a03310c4494b5734362675aec85.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/e3aa960f0addca4c43ab136db81b34bb.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/e9455c2d72529fd8c880b79e869d20e4.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/cca7a78fc33e5b6a49d0557e491dc3d4.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/21ceff6394e57b99f9616029cff8bdb9.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/3b316f81a1ca805d2f81f67816d5bbea.jpg, https://media2.homegate.ch/listings/liv2/3002265048/image/f46fbafc72e6d74311098ed8ecdbd6f9.jpg, https://media2.homegate.ch/listings/liv2/3002265048/document/2424535eb8959accf6ec739882b954bc.pdf",CH,Zürich,8001,ZH,Limmatquai 48,47.3712025,8.5433281,120,,,,400,3690,3290,,"Wir vermieten diese sanierte Wohnung in einer denkmalgeschützten Liegenschaft im Herzen von Zürich per 01.02.2023 oder nach Vereinbarung. Die Wohnung ist zur Seitengasse ausgerichtet und besticht nebst dem top modernen Ausbaustandard in der Küche sowie im Badezimmer unter anderem mit folgendem Komfort:- alle Wohnräume mit Parkettboden- Entrée mit Einbauschrank- grosses Wohn-/Esszimmer mit Cheminée- zwei geräumige Schlafzimmer- halboffene Küche mit Plattenboden- mit Backofen auf Sichthöhe- mit integriertem Bartresen- mit Granitabdeckung- mit Glaskeramikherd- mit Geschirrspüler- Badezimmer/WC mit Plattenboden- mit eigenem Waschturm- Réduit mit Ablageflächen- Kellerabteil- Lift Die genaue Raumaufteilung können Sie dem als PDF angefügten Grundrissplan entnehmen. Zu Fuss erreichen Sie innert Kürze entweder die Tramhaltestelle ""Zürich, Helmhaus"" oder ""Zürich, Rathaus"", von wo aus Sie mit den Tramlinien 3, 4, 10 & 15 in wenigen Minuten entweder ans Bellevue oder an den Zürcher Hauptbahnhof gelangen.Einkaufsmöglichkeiten, diverse andere Dienstleister sowie Restaurants und Bars befinden sich in unmittelbarer Nähe von der Liegenschaft.In dieser Wohnung liegt Ihnen die Stadt Zürich wortwörtlich zu Füssen. Hier leben Sie sehr zentral in der hübschen Altstadt von Zürich und erreichen alles in nur wenigen Gehminuten.Zudem finden Sie hier das gesuchte Wohnambiente und das pulsierende Stadtleben sehr nahe beieinander. Es wird Ihnen an nichts fehlen – überzeugen Sie sich selbst.Wollen Sie die künftigen Mieter dieses Wohntraums werden?Dann zögern Sie nicht lange und kontaktieren Sie uns direkt im Inserat via ""Anbieter kontaktieren"" um die Besichtigungsinformationen zu erhalten.Wir freuen uns auf Ihre digitale Bewerbung nach der Besichtigung.",https://www.homegate.ch/mieten/3002265048
Altstadt-Flair - Wohnen am Rennweg,3,3.5,99,"https://media2.homegate.ch/listings/wic/3002199973/image/c457ea1c5802addb05f98f4459c6c251.jpg, https://media2.homegate.ch/listings/wic/3002199973/image/7ff39c9b8cd9c359038e8e0532ad623d.jpg, https://media2.homegate.ch/listings/wic/3002199973/image/60bb5f5adc24841d08bc75c9bf42a859.jpg, https://media2.homegate.ch/listings/wic/3002199973/image/90c6f21a29e590b6ba22d9b9ed7c16f9.jpg, https://media2.homegate.ch/listings/wic/3002199973/image/778cecba55435444ff565dfb73317d83.jpg, https://media2.homegate.ch/listings/wic/3002199973/image/26823276016d0b20125877ad9afcf23b.jpg, https://media2.homegate.ch/listings/wic/3002199973/image/1e5eab8dba9d4620662541b92b408679.jpg, https://media2.homegate.ch/listings/wic/3002199973/image/d2bcfde5da6b82aadcbf22d341ae9b9d.jpg",CH,Zürich,8001,ZH,Rennweg 15,47.37273,8.5396266,,,,,200,4600,4400,,"Hier finden Sie die gesuchte Erholung und das pulsierende Stadtleben sehr nah beieinander. Die charmante 3.5 Zimmer-Altstadt-Wohnung strahlt Gemütlichkeit aus. Überzeugen Sie sich von folgender Wohnqualität: - Gesamte Wohnung mit Eichenparkett - Offene Küche mit viel Stauraum und modernster Ausstattung (Glaskeramikherd, Geschirrspüler, Backofen, Steamer) - Küche verfügt über LED Leuchten unter den Oberschränken und in der oberen Blende- Nasszelle mit hellen keramischen Platten, modernste Ausstattung mit viel Liebe zum Detail- Separates Badezimmer - Eigener Waschturm in der Wohnung - Viele Einbaukschränke in der Wohnung vorhanden- Super Lage, viele Dienstleistungsangebote, Gastronomiebetriebe, die Nähe zum See und der bekannten Bahnhofstrasse, sowie den Hauptbahnhof ZürichEin Kellerabteil im Untergeschoss gehört ebenfalls zur Wohnung. Wünschen Sie weiterführende Informationen oder einen Besichtigungstermin? Wir freuen uns auf Ihre Kontaktaufnahme.",https://www.homegate.ch/mieten/3002199973
4.5-Zimmerwohnung in Jugenstilhaus Zürich - Enge,3,4.5,100,"https://media2.homegate.ch/listings/hgonif/3002267245/image/f08df1427a44960d2fc4514a90f0dc76.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/7ab468d51a6d3c2d2d0d8e86bd47ae10.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/2bb1bdb5b5f55c259aa0951045f56b08.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/b3a447212311d8059d6671b46a4db32a.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/4b89d26f91a8c94ffbebaf93176a421b.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/4ad1fa91f39a8820f6c5eb629bcfa6a6.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/24f1f4c1a62f37646e5636aec0e65dc9.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/5709b33ab430aec09c9b540d4510e9d9.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/3039d56d11200c312a436c72375e1020.jpg, https://media2.homegate.ch/listings/hgonif/3002267245/image/e46cda351b17e1c2c8ea54adcedce482.jpg",CH,Zürich,8002,ZH,Seestr. 43,47.362763,8.5315699,250,,,,,4600,,,"Besichtigung nach Vereinbarung.Die 4.5-Zimmerwohnung im Jugendstilhaus wurde 2015 saniert und die Jugendstilelemente aufwändig restauriert. Die Wohnung verfügt in den Zimmern über Stukkaturdecken, Kassettenparkett und Verbindungstüren zwischen den Zimmern, eine grosse Wohnküche, separates WC, Bad mit Dusche und Lavabo, eigener Waschturm in der Wohnung, Glasfasernetz. Zur Wohnung gehört zudem ein Kellerabteil. Der Balkon zur Seestrasse hin bietet den Blick ins Grüne und auf die schöne Kirche. Ein Lift steht nach einigen Eingangsstufen zur Verfügung. Haustiere sind nicht erlaubt. Die Liegenschaft liegt 2 Gehminuten vom Bahnhof Enge und 4 Gehminuten vom See entfernt.._________________________________________________________________This 4.5 room apartment is situated in an art nouveau house which was elaborately renovated. The apartment holds beautifully renovated stucco work ceilings, parquet floor and connecting doors between the rooms. Furthermore, it contains a state of the art eat-in kitchen with dish washer, a bathroom with a shower and a separated toilet, a personal scrubbing tower in the flat and fibre optic network. In addition, it comes with a cellar compartment. The balcony, facing Seestrasse, allows for a wonderful view of the nature and a beautiful church. An elevator can be reached from the entrance by a few steps. Pets are not allowed. The estate is situated 2 minutes by foot from Bahnhof Enge and 4 minutes by foot from the Lake.",https://www.homegate.ch/mieten/3002267245
3.5-Zimmer-Wohnung im 13. Stock mit atemberaubender Aussicht,13,3.5,115,"https://media2.homegate.ch/listings/hgonif/3002291486/image/f2f34d38aea65d01511db6cdd75a37e9.jpg, https://media2.homegate.ch/listings/hgonif/3002291486/image/8020c99e26789c7b758dad95e4de97bc.jpg, https://media2.homegate.ch/listings/hgonif/3002291486/image/984d6a5b99727fb2224a6ed715249356.jpg, https://media2.homegate.ch/listings/hgonif/3002291486/image/bc46575ebb8c8f0594e510c523335578.jpg, https://media2.homegate.ch/listings/hgonif/3002291486/image/a7758a159e94ac75ddfcb4e859610529.jpg, https://media2.homegate.ch/listings/hgonif/3002291486/document/0a1018ff3759e7d2b2a7cec2882cf95b.pdf",CH,Zürich,8004,ZH,Gustav-Gull-Platz 4,47.3794389,8.5311123,,True,,,400,6080,5680,,"Besichtigungstermin am Freitag, den 16. Dezember 2022 zwischen 16.30 bis 17.30 UhrTreten Sie in diese exklusive Oase auf 115m2 ein und genießen Sie den Komfort einer atemberaubenden Wohnung auf hohem Niveau. Sie bietet Ihnen ein traumhaftes Wohnerlebnis und der fantastische Blick über die Dächer von Zürich ist einmalig.Urbane Architektur und gehobene Innenausstattung für Liebhaber von Luxus auf höchstem NiveauDie moderne und offene Küche mit Essbereich lässt keine Wünsche offen. Verbringen Sie kulinarische Abende oder geniessen Sie den Apéro im gemütlichen Wohnbereich mit spektakulärer AussichtInsgesamt gibt es zwei geräumige Schlafzimmer mit Ankleide und Ensuite Bad sowie separater Gäste-ToiletteEin Reduit mit eigenem Waschturm ist in der Wohnung vorhanden1 Garageneinstellplatz inklusiveMöbel können auf Wunsch übernommen werdenLage & UmgebungDer Stadtteil Europaallee ist ein Hotspot für Menschen, die das Stadtleben lieben. Als beliebter Wohn- und Arbeitsort, als Kultur- und auch als Erholungsgebiet liegt die Europaallee voll im Trend. Die Einkaufspromenade mit zahlreichen Boutiquen, Cafés und Restaurants sowie die berühmte Bahnhofstraße sind nur einen Katzensprung entfernt.",https://www.homegate.ch/mieten/3002291486
Penthouse mit Dachterase Bahnhofstrasse Zürich,5,3.5,130,"https://media2.homegate.ch/listings/hgonif/3002222915/image/95b7f93f94922dd5ed849e257681ccc4.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/9db10ee7e7cd9985ee6f665fa520a4af.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/c75a942c866a991f556087cdc74a7244.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/2aba33fb09ec85c999d6b68dc9c56fbe.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/4490d3f61cd91cd5aa193492008df453.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/eabaec03b4e16d230a37dad47a6bbb06.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/e995f9b3016e1cba1e5a10ba786d9fca.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/eb6fc39c6d02b7c078c85c34a4197f9b.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/5cf8b19462786194a215dbd76a5d1495.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/0c3dc6cf6b563c23181492b65d8b671f.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/eeba15716198899b53f24a8efbd93a0f.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/0270f92233b7f7c9cf00a4083fd2f444.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/d34d092853a9ea778cdfb90e554cd2c5.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/6a1f59ad44e4266389e15f6cd1d140d8.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/6615478bd3281e1fb1060ac57f64a8bb.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/bda6f53a6e1f4658e0fe69d71c04a26d.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/783501168e233f126fc3bde81b80d63e.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/3cf9cc61978c42790e5bb689fc5e7e92.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/fa09251ec84cea1bd547d7d45f3c80b0.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/9087205ab05d6b586f01bef122733272.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/9ea717b6200a86769f6b974d08504e59.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/cdfe1b5110ed9e2966106c2532c4ba66.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/f98a4814b5f4b12bba407a75cf1aa4e6.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/238537fcc2fa2f6efe34dceec036ae44.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/5c5e37197f5eb8d3d9b62bab03a476af.jpg, https://media2.homegate.ch/listings/hgonif/3002222915/image/43fe2597d24ca5adbd35d1379e4dfd8e.jpg",CH,Zürich,8001,ZH,Schützengasse 14,47.3765776,8.5393503,,,True,,,15900,,,"Exklusives Penthouse mit Dachterrasse an der Bahnhofstrasse Zürich Komplett ausgestattet und möbliertCa. 130 m2 2 Badezimmer (2 Duschen / 2 WC)2 Schlafzimmer mit kingsize und queensize Bett + 1 Doppel Schlafsofa für Gäste Bettwäsche und Handtücher Gesamtes StockwerkLift Dachterrasse mit BBQ GrillGagenau Küche inklusive Weinkühler und Steamer / Kaffeemaschine und Küchenutensilien Waschmaschine/ Trockner 3 Balkone Housekeeping Service kann gegen Aufpreis gebucht werden/ Bettwäsche Wechsel inklusive Das Penthouse kann jährlich gemietet werden, sollten sie jedoch einen kürzeren Aufenthalt in Zürich planen können wir gerne auch eine kürzere Mietdauer (mindestens 1 Monat) vereinbaren.Falls Sie es bevorzugen selbstständig zu möblieren, stellen wir unsere Möbel gerne für Sie raus. Gerne können sie uns jederzeit kontaktieren:The Crown Apartments Zürich www.thecrownapartments.chInfo@thecrownapartments.ch",https://www.homegate.ch/mieten/3002222915
"Duplex-/Maisonette-Wohnung im Toni Areal, Zürich West",17,3,83,"https://media2.homegate.ch/listings/hgonif/3002291090/image/0e7f5d51dde839d2a905eb19051799f9.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/493ba3751c40ee32f2d1c455167c1d1f.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/27bd4c6c354277c9f31dcb0832297251.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/9a5794d804f5ad381d717b136477d9c7.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/fb176a85fac9663421c64cd83bc8db28.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/976f1a2399f0d6836bca2e4aecb6e805.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/3d224d715c32c0feea1b6dfc07a81de0.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/b6c86990d8417ee0b0f0fce1a037c1bd.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/76f60659983ed015e44d8d122d1cda00.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/fbc304bcc3dd7561287bb3776e63d0e6.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/616458d68f5bb64d04210e6959e2e85f.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/e4247c64746589dd662114a5175e7567.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/1a3e8de50fbac2e32637de93eedbb2c1.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/52e4f919ea6a9acb0d5480c47819a656.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/6b4f088b66f12d51b4f8c4e30f70de48.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/7d7884d33cc3d226f0b597188fc23c84.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/5fb2538ec577bbc23a813d5dc631a5da.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/053f2886baaa7e69c85811010f234bdf.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/1e9de413f69aaa1df6279a00a84ca041.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/f18138e2900e14e25c7127a65a8c9454.jpg, https://media2.homegate.ch/listings/hgonif/3002291090/image/dfdee100614849324271671eca419fcd.jpg",CH,Zürich,8005,ZH,Pfingstweidstrasse 94,47.390509,8.5113698,,True,True,True,200,3070,2870,,"Wohnen im urbanen TrendquartierIm lebendigen Zürich-West, im Turm des Toni Areals, suchen wir für unsere tolle Maisonettewohnung im 17. und 18. Stock nach rund 8 Jahren einen Nachmieter.Das Toni Areal beheimatet u.a. die Kunsthochschule ZHdK, verschiedene Cafés und Bars sowie ein Museum und bildet einen regelrechten Kosmos der Jugend und Kultur. Über dem durch die Mieter nutzbaren Dachgarten der Hochschule erstreckt sich der Wohnturm mit hochwertigen Mietwohnungen. Diese verfügen über einen hohen Ausbaustandard (WM/T, Fussbodenheizung mit Freecooling, Lüftung etc.) und einen spektakulären Blick einerseits nach Norden auf den Käferberg, anderseits nach Süden auf den Uetliberg und Zürich vor den Glarner Alpen. Die Fenster erstrecken sich jeweils über die volle Raumbreite und jedes Zimmer verfügt über einen grossen Lüftungsflügel. Die Glasfassade der gen Süden an das Wohnzimmer angegliederten Loggia lässt sich über die komplette Breite öffnen. Dadurch entsteht ein einmaliger und schattenfreier Sonnenplatz in über 50m Höhe. Durch die geschützte Lage der Loggia ist dieser Aussenraum nahezu das gesamte Jahr über gut nutzbar und eignet sich auch im Winter gut um die Sonne zu geniessen. Die Wohnung verfügt über zwei Badezimmer (Dusche und Badewanne vorhanden).Innerhalb der Wohnung besticht diese durch eine gelungene Farb- und Materialauswahl. Im unteren Geschoss in welchem sich die Schlafzimmer befinden ist hochwertiges Eichenparkett verlegt, im Obergeschoss mit erstklassiger Küche und Wohnzimmer ein heller Gussboden welcher sich über die Jahre sehr bewährt hat. Die Wohnung ist sehr ruhig, von Strasse, Zug oder Nachbar hört man nahezu nichts.Zur Wohnung gehört eine Kellerabteil mit rund 8qm, ein Autostellplatz in der hauseigenen Tiefgarage kann für CHF 250/M dazu gemietet werden.Besichtigungen finden am Sa, 17.12. statt. Bitte kontaktieren Sie uns für die Bekanntgabe der Zeit und wo Sie läuten müssen.",https://www.homegate.ch/mieten/3002291090
1-Zimmerwohnung für Wochenaufenthalter mit eigener Dusche/WC und gemeinsamer Küche,3,1,35,"https://media2.homegate.ch/listings/hgonif/3002287419/image/e4be150654e7b03b7eb43480a247bfd6.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/8447a2f1093dc36f78e627b1f4b9c037.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/91c0e1c6bc644ef3c6a7ca4678f2f01a.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/30f5ffb8b652947b12ec7398c8a73fb8.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/6ac962dc888d41a1e31b4a63dd8d83a5.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/0bf1c31dcbfcfc650ecf002f949f6721.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/0ce80bc435d0d2b42d2f9e9b3c7c8622.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/07987ef926666e2b7ca47e41033486d4.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/image/2bec41a9b3ba797a0c663d10435861ac.jpg, https://media2.homegate.ch/listings/hgonif/3002287419/document/b73887d4d0a67869cccfb18d653bf40d.pdf",CH,Zürich,8004,ZH,Ankerstrasse 113,47.3763781,8.5278524,100,,,,100,1100,1000,,"Möchten Sie mit ausschliesslich interessanten, beruflich sehr gut qualifizierten Mietern unter einem Dach wohnen?Wir vermieten diese Wohnung nur an berufstätige Wochenaufenthalter, die Ihren Haupt-Wohnsitz behalten und aus beruflichen Gründen in Zürich eine Wohnung suchen. Aus diesem Grund ist der Mietpreis attraktiv.WICHTIGE INFORMATION ZUR ANMELDUNG:Anfragen via Homegate Formular (Anbieter kontaktieren) werden von uns nicht beantwortet oder bearbeitet.Für eine Besichtigung müssen Sie sich zwingend mit dem PDF ANMELDEFORMULAR (2 Seiten) von ABE Immobilien AG anmelden.Das PFD ANMELDEFORMULAR finden Sie bei diesem Inserat als Anhang oder unter: www.abe-immobilien.chSenden Sie das PDF Formular an: info@abe-immobilien.chZentral, an verkehrsgünstiger Lage im Kreis 4 (angrenzend an Helvetiaplatz) mit guten Einkaufsmöglichkeiten in unmittelbarer Nähe.Der Ausbaustandard ist hoch, modern und zeitgemäss. Die 1-Zimmer Wohnung verfügt über ein eigenes Badezimmer mit Dusche, Lavabo und Toilette. Mitbenützung einer topmodernen Küche mit Granit, Glaskeramikherd, Geschirrspüler, Dampfabzug, Kühlschrank, Mikrowelle und Waschen/Tumbler Kombigerät. Für jeden Mieter ist ein abschliessbarer Schrank in der Küche integriert. Neue Fenster mit hochwertiger Schall- und Wärmeisolation. Böden: Küche und Bad Keramikplatten, Wohnbereich Laminat. Modernste Schliessanlage, grosszügiger Fahrradraum im Keller.In den Nebenkosten von CHF 100.-/mtl. sind pauschal inbegriffen:Wasser-, Strom- und Heizkosten, freie Benutzung von Internet Wireless WLAN, regelmässige Reinigung der gemeinsam genützten Räume (Vorplatz, Küche) durch unser Personal ist ebenfalls inbegriffen.Auf Wunsch reinigen wir auch Ihr Zimmer! Weitere Ausstattung in jedem Zimmer: Kleiderschrank, Satelliten TV, Swisscom Anschluss mit Telefon / Internet / TV, GegensprechanlageBemerkungen: Die Wohnung darf ausdrücklich nicht für gewerbliche Zwecke verwendet werden, wie zum Beispiel für das Führen eines Studio im Sexgewerbe oder ähnliches. Diese Bestimmungen werden im Mietvertrag festgehalten.Das Zimmer darf nicht weiter vermietet werden. Lange Mietdauer wird sehr erwünscht, jedoch mindestens 4 Monate. Die Kündigungsfrist beträgt 1 Monat.Kaution: CHF 1'500.- (Keine Kautionsversicherung). Obligatorische Endreinigung des Zimmers: CHF 250.-",https://www.homegate.ch/mieten/3002287419
"WOHNEN IM HERZEN DER ZÜRCHER ALTSTADT, OBERDORFSTRASSE 14 IN 8001 ZÜRICH",1,2.5,51,"https://media2.homegate.ch/listings/x338/3002260857/image/418f972a71597dbaba43c3b335744b64.jpg, https://media2.homegate.ch/listings/x338/3002260857/image/f83db58b244eeddf5095369c0c9bb0ae.jpg, https://media2.homegate.ch/listings/x338/3002260857/image/a1ab53ee1d83abb67fd7fe4b4ae96b07.jpg, https://media2.homegate.ch/listings/x338/3002260857/image/6907b082104231babb3e1f204cd78084.jpg, https://media2.homegate.ch/listings/x338/3002260857/image/265cf11067987a108e7ca07e0d701a71.jpg, https://media2.homegate.ch/listings/x338/3002260857/image/68ed8861972266efc0e0e12bf9f9d7cf.jpg, https://media2.homegate.ch/listings/x338/3002260857/document/7ebae376f02012fa7d2a380c254e103e.pdf",CH,Zürich,8001,ZH,Oberdorfstrasse 14,47.3687665,8.5456178,,,,,100,2090,1990,,"Wir vermieten per sofort oder nach Vereinbarung diese wunderschöne 2.5-Zimmer-Wohnung an allerbester Lage im Herzen der Zürcher Altstadt.Dieses einmalige Angebot zeichnet sich durch folgende Vorteile aus:- erstklassige Lage- charmantes Altstadthaus- neuer Vinylboden im Schlafzimmer- Parkettboden im Wohnzimmer- komplette Wohnung wurde frisch gestrichenDiverse Einkaufsmöglichkeiten sowie zahlreiche Cafés, Bars und Restaurants sind in nächster Nähe vorhanden. Geheizt wird mit originalen Gas-Heizöfen. Die Kosten werden direkt dem Mieter verrechnet. Das eigene WC befindet sich im Korridor.Die Besichtigung findet wie folgt statt:DONNERSTAG, 15. Dezember 2022 von 17.00 - 18.00 Uhr.Unser Hauswart Herr AGA wird Ihnen die Wohnung gerne zeigen.Im Anhang finden Sie bitte das Bewerbungsformular, bei Fragen stehen wir Ihnen gerne zur Verfügung!Bei Fragen stehen wir Ihnen gerne zur Verfügung!",https://www.homegate.ch/mieten/3002260857
Ruhige und grosse 3.5 Zimmerwohnung an Toplage in Zurich,-1,3.5,100,"https://media2.homegate.ch/listings/hgonif/3002282881/image/a963a30224678902e701b07e0dc2d11b.jpg, https://media2.homegate.ch/listings/hgonif/3002282881/image/f8cecde6aed851bd212fb411f05981fd.jpg, https://media2.homegate.ch/listings/hgonif/3002282881/image/f9b7a6fa2024b71db096966664f9c6ab.jpg, https://media2.homegate.ch/listings/hgonif/3002282881/image/1ae8b0db046516207474e675ba7c56e4.jpg, https://media2.homegate.ch/listings/hgonif/3002282881/image/73553902b9f7e98f66c518354ebbf3f0.jpg, https://media2.homegate.ch/listings/hgonif/3002282881/image/f207330bb767fe757b862d2b841b9580.jpg, https://media2.homegate.ch/listings/hgonif/3002282881/image/b90c494937467a726d204b1d11a398a5.jpg, https://media2.homegate.ch/listings/hgonif/3002282881/image/fe4f72543c86bfe8e35584cd5fcc9c45.jpg",CH,Zurich,8038,ZH,Bellariastrasse 45,47.340415,8.529471,,,,,,2540,,,"Grosse und ruhige 3.5 Zimmerwohnung mit Gartensitzplatz, Bad mit sep. Dusche und Gäste WC. Diverse Möbel sind vorhanden, müssen aber nicht übernommen werden, z.B. ein grosser Wandschrank mit dem das sehr grosse Eltern Schlafzimmer unterteilt werden kann. Küche mit GK, Spülmaschine. Separater Kellerraum mit Waschmaschinen Anschluss, Schrankzimmer.Tram und S-Bahn in der Nähe, Coop 5 Min. zu Fuss, Migros 10 Min. zu FussDie Mietdauer ist begrenzt wegen Abbruch bis 31.3.2024. Eventuell ist eine Verlängerung möglich bis 31.3.2025.",https://www.homegate.ch/mieten/3002282881
